<TICKER>,<NAME>
1540.HK,LEFTFIELD PRINT
1541.HK,IMMUNEONCO B
1542.HK,TAIZHOU WATER
1543.HK,JOIN SHARE
1545.HK,DESIGN CAPITAL
1546.HK,THELLOY DEV
1547.HK,IBI GROUP HLDGS
1548.HK,GENSCRIPT BIO
1549.HK,EVER HARVEST GP
1551.HK,GRCB
1552.HK,BHCC HOLDING
1553.HK,MAIKE TUBE
1555.HK,MIE HOLDINGS
1556.HK,CHINNEY KW
1557.HK,KH GP HLDGS
1558.HK,HEC CJ PHARM
1559.HK,KWAN ON HLDGS
156.HK,LIPPO CHINA RES
1560.HK,STAR GROUP ASIA
1561.HK,PAN ASIA DATA H
1563.HK,ALLI INTL ED LE
1565.HK,VIRSCEND EDU
1568.HK,SUNDART HLDGS
1569.HK,MINSHENG EDU
157.HK,NATURAL BEAUTY
1570.HK,WEIYE HOLDINGS
1571.HK,XIN POINT HOLD
1572.HK,CHINA ART FIN
1575.HK,REGAL PARTNERS
1576.HK,QILU EXPRESSWAY
1577.HK,HUIXIN CREDIT
1578.HK,BANK OF TIANJIN
1579.HK,YIHAI INTL
158.HK,MELBOURNE ENT
1580.HK,DA SEN HLDGS
1581.HK,PROGRESSIVE P
1582.HK,CR CONSTRUCTION
1583.HK,QINQIN FOODS
1585.HK,YADEA
1586.HK,LEON INSPECTION
1587.HK,SHINEROAD INTL
1588.HK,CHANJET
159.HK,BROCKMAN MINING
1591.HK,SHUN WO GROUP
1592.HK,ANCHORSTONE
1593.HK,CHEN LIN EDU
1596.HK,YICHEN IND
1597.HK,NATURE ENERGY T
1598.HK,21CENTURY EDU
1599.HK,UCD
16.HK,SHK PPT
160.HK,HON KWOK LAND
1600.HK,TIAN LUN GAS
1601.HK,ZGC TEC LEASING
1606.HK,CDB LEASING
1608.HK,VPOWER GROUP
1610.HK,COFCO JOYCOME
1611.HK,SINOHOPE TECH
1612.HK,VINCENT MED
1613.HK,SYNERTONE
1615.HK,AB BUILDERS
1616.HK,A METAVERSE
1617.HK,NANFANG COMM
1618.HK,MCC
162.HK,CENTURY GINWA
1620.HK,CINESE INTL
1621.HK,VICO INTL HLDGS
1622.HK,REDCO GROUP
1623.HK,HILONG
1626.HK,JIA YAO HLDGS
1627.HK,ABLE ENG HLDGS
1628.HK,YUZHOU GROUP
1629.HK,CHAMP ALLI INTL
163.HK,EMPEROR INTL
1630.HK,KIN SHING HLDGS
1631.HK,REF HOLDINGS
1632.HK,MSCTECH
1633.HK,SHEUNG YUE GP
1635.HK,DZUG
1636.HK,CMRU
1637.HK,SH GROUP HLDG
1638.HK,KAISA GROUP
164.HK,CHINA BAOLI TEC
1640.HK,QIAN XUN TECH
1643.HK,MODERN CHI MED
1645.HK,HAINA INTEL
1647.HK,GRANDSHORES
165.HK,CHINA EB LTD
1650.HK,HYGIEIA GROUP
1651.HK,TSUGAMI CHINA
1652.HK,FUSEN PHARM
1653.HK,MOS HOUSE
1655.HK,OKURA HOLDINGS
1656.HK,ISDN HOLDINGS
1657.HK,SG GROUP HLDGS
1658.HK,PSBC
166.HK,NEW TIMES CORP
1660.HK,ZHAOBANGJI LIFE
1661.HK,CH FRONTIER TEC
1662.HK,YEE HOP HLDGS
1663.HK,S HARBOURHOLD
1666.HK,TONG REN TANG
1667.HK,DIMMI LIFE HLDG
1668.HK,CHINASOUTHCITY
1669.HK,GIC GROUP
167.HK,IDT INTL
1671.HK,TIANBAO ENERGY
1672.HK,ASCLETIS B
1673.HK,HUAZHANG TECH
1675.HK,ASIAINFO TECH
1676.HK,GAODI HOLDINGS
1679.HK,RISECOMM GP
168.HK,TSINGTAO BREW
1680.HK,MACAU LEGEND
1681.HK,CONSUN PHARMA
1682.HK,HP LIVING TECH
1683.HK,HOPE LIFE INT
1685.HK,BOER POWER
1686.HK,SUNEVISION
1689.HK,HUAXIHOLDINGS
169.HK,WANDA HOTEL DEV
1690.HK,LAP KEI ENGRG
1691.HK,JS GLOBAL LIFE
1692.HK,TOWNRAY HLDGS
1693.HK,BGMC
1695.HK,S P INTL HLDG
1696.HK,SISRAM MED
1697.HK,SDITC
1698.HK,TME SW
17.HK,NEW WORLD DEV
1701.HK,TU YI HLDG
1702.HK,DONGGUANG CHEM
1703.HK,WELIFE TECH
1705.HK,B S INTL HLDG
1707.HK,GEOTECH HLDGS
1708.HK,SAMPLE TECH
1709.HK,DL HOLDINGS GP
171.HK,SILVER GRANT
1710.HK,TRIO IND ELEC
1711.HK,ULFERTS
1712.HK,DRAGON MINING
1713.HK,SICHUAN EN INV
1715.HK,VOLCANO SPRING
1716.HK,MOST KWAI CHUNG
1717.HK,AUSNUTRIA
1718.HK,WAN KEI GROUP
1719.HK,CIL GROUP
1720.HK,PUTIAN COMM
1721.HK,FSM HOLDINGS
1722.HK,KIN PANG HLDGS
1723.HK,HK ASIA HLDGS
1725.HK,USPACE TECH
1726.HK,HKE HOLDINGS
1727.HK,HEBEI CONS
1728.HK,ZHENGTONGAUTO
1729.HK,TIMEINTERCON 1K
173.HK,K WAH INTL
1730.HK,LHN
1731.HK,PROSPEROUS IND
1732.HK,XIANGXING INT
1733.HK,E COMMODITIES
1735.HK,CENTRAL NEW EGY
1736.HK,PARENTING NET
1737.HK,A S GROUP
1738.HK,FS ANTHRACITE
1739.HK,QEEKA HOME
174.HK,GEMINI INV
1740.HK,VALUES CULTURAL
1741.HK,SHING CHI HLDGS
1742.HK,HPC HOLDINGS
1745.HK,LVJI TECH
1746.HK,MAN SHUN GP
1747.HK,HOME CONTROL
1748.HK,XIN YUAN ENT
1749.HK,SHANSHAN
175.HK,GEELY AUTO
1750.HK,REM GROUP HLDGS
1751.HK,KINGLAND GROUP
1752.HK,TOP EDUCATION
1753.HK,DUIBA
1755.HK,S ENJOY SERVICE
1756.HK,CHI SCI EDU IND
1757.HK,AFFLUENT FDN
1758.HK,BOJUN EDU
1759.HK,SINO GAS HLDGS
176.HK,SUPERACTIVE GP
1760.HK,INTRON TECH
1762.HK,WANKA ONLINE
1763.HK,CIRC
1765.HK,XJ INTL HLDGS
1766.HK,CRRC
1767.HK,TS WONDERS
1769.HK,SCHOLAR EDU
177.HK,JIANGSU EXPRESS
1771.HK,SUNFONDA GP
1772.HK,GANFENGLITHIUM
1773.HK,TIANLI INT HLDG
1775.HK,BEXCELLENT GP
1776.HK,GF SEC
1777.HK,FANTASIA
1778.HK,COLOUR LIFE
178.HK,SA SA INTL
1780.HK,RONGZUN INTL H
1782.HK,IB DIGITAL TECH
1783.HK,ENVISION GREEN
1785.HK,CHENGDU EXPWAY
1786.HK,CRCCE
1787.HK,SD GOLD
1788.HK,GUOTAI JUNAN I
1789.HK,AK MEDICAL
179.HK,JOHNSON ELEC H
